Road,Name,LRP,Offset,Chainage,LRP_2,Offset_2,Chainage_2,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),type,identified_roads,base_road,condition,lat,lon,Type,Connected_Road1,Connected_Road2,Connected_Road3
N1-1L,Jatrabari - Int.with Z1101 (Left) (Left),LRPS,0.0,0.0,LRPS,822.0,0.822,0.822,402.0,5842.0,1147.0,2842.0,526.0,2010.0,238.0,1851.0,2980.0,398.0,232.0,889.0,0.0,18236.0,1121.0,19357.0,19357.0,road,['Z1101'],N1,,23.7060278,90.443333,Intersection,Z1101,,
N1-1R,Jatrabari - Int.with Z1101 (Left) (Right),LRPS,0.0,0.0,LRPS,822.0,0.822,0.822,660.0,6155.0,1554.0,2744.0,971.0,2120.0,480.0,2608.0,2508.0,436.0,213.0,1088.0,0.0,20236.0,1301.0,21537.0,21537.0,road,['Z1101'],N1,,23.7060278,90.443333,Intersection,Z1101,,
N1-2L,Int.with Z1101 - Signboard (Left) R111 (Left),LRPS,822.0,0.822,LRPS,4175.0,4.175,3.353,660.0,6155.0,1554.0,2744.0,971.0,2120.0,480.0,2608.0,2508.0,436.0,213.0,1088.0,0.0,20236.0,1301.0,21537.0,21537.0,road,"['Z1101', 'R111']",N1,,23.7027778,90.4504722,Intersection,Z1101,R111,
N1-2R,Int.with Z1101 - Signboard (Left) R111 (Right),LRPS,822.0,0.822,LRPS,4175.0,4.175,3.353,402.0,5842.0,1147.0,2842.0,526.0,2010.0,238.0,1851.0,2980.0,398.0,232.0,889.0,0.0,18236.0,1121.0,19357.0,19357.0,road,"['Z1101', 'R111']",N1,,23.7027778,90.4504722,Intersection,Z1101,R111,
,.,,,1.8,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.69873866,90.4588610799999,Bridge,,,
N1-3L,Signboard - Shimrail (Left)R110 (Left),LRPS,4175.0,4.175,LRPS,7181.0,7.181,3.006,91.0,2706.0,2184.0,2534.0,1773.0,1643.0,314.0,1690.0,2266.0,1087.0,75.0,1198.0,0.0,16288.0,1273.0,17561.0,17561.0,road,['R110'],N1,,23.6938052,90.4805271,Intersection,R110,,
N1-3R,Signboard - Shimrail (Left)R110 (Right),LRPS,4175.0,4.175,LRPS,7181.0,7.181,3.006,85.0,2544.0,2053.0,2412.0,1688.0,1564.0,298.0,1609.0,2157.0,1035.0,72.0,1140.0,0.0,15445.0,1212.0,16657.0,16657.0,road,['R110'],N1,,23.6938052,90.4805271,Intersection,R110,,
,.,,,4.925,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6946638363636,90.4877749181818,Bridge,,,
N1-4L,Shimrail - Katchpur (Left)N2 (Left),LRPS,7181.0,7.181,LRP009,260.0,8.763,1.582,174.0,2905.0,1360.0,2576.0,1356.0,1415.0,320.0,1579.0,3154.0,1162.0,211.0,1077.0,0.0,16001.0,1288.0,17289.0,17289.0,road,['N2'],N1,,23.6979163,90.5092778,Intersection,N2,,
N1-4R,Shimrail - Katchpur (Left)N2 (Right),LRPS,7181.0,7.181,LRP009,260.0,8.763,1.582,153.0,2955.0,1566.0,2438.0,1456.0,1299.0,345.0,1948.0,2693.0,1143.0,517.0,1531.0,0.0,15996.0,2048.0,18044.0,18044.0,road,['N2'],N1,,23.6979163,90.5092778,Intersection,N2,,
N1-5L,Katchpur - Madanpur (Left)N105 (Left),LRP009,260.0,8.763,LRP012,439.0,11.936,3.173,174.0,4965.0,3478.0,3296.0,2791.0,1751.0,249.0,1579.0,3154.0,1154.0,211.0,1077.0,0.0,22591.0,1288.0,23879.0,23879.0,road,['N105'],N1,,23.7060833,90.5215271,Intersection,N105,,
N1-5R,Katchpur - Madanpur (Left)N105 (Right),LRP009,260.0,8.763,LRP012,439.0,11.936,3.173,153.0,4419.0,3221.0,2880.0,2408.0,2787.0,345.0,2105.0,3080.0,1143.0,517.0,1531.0,0.0,22541.0,2048.0,24589.0,24589.0,road,['N105'],N1,,23.7060833,90.5215271,Intersection,N105,,
,Kanch pur Bridge.,,,8.976,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.7050598925675,90.5232141463513,Bridge,,,
,KANCHPUR PC GIRDER BRIDGE,,,8.976,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.7050598925675,90.5232141463513,Bridge,,,
,KATCHPUR BOX CULVERT,,,10.543,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6964000869109,90.5350989801047,Bridge,,,
,NOYAPARA CULVERT,,,10.88,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6943906141361,90.5375740774869,Bridge,,,
,ADUPUR CULVERT,,,10.897,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6943023869158,90.5377073719626,Bridge,,,
,NAYABARI KASPUR BOX CULVERT,,,11.296,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6923601518691,90.5409183897196,Bridge,,,
,NAYABARI BOX CULVERT,,,11.808,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6909119315151,90.5454624957575,Bridge,,,
N1-6L,Madanpur - Langalband (Left)Z1061 (Left),LRP012,439.0,11.936,LRP013,3411.0,15.935,3.999,153.0,4419.0,3221.0,2880.0,2408.0,2787.0,345.0,2105.0,3080.0,1143.0,517.0,1531.0,0.0,22541.0,2048.0,24589.0,24589.0,road,['Z1061'],N1,,23.6904163,90.546583,Intersection,Z1061,,
